businessID,businessName,sector,isVerified,trustScore,totalSubmissions,qfintrustComposite,registrationDate,readinessScore,readinessTier,esgComposite,esgTier,creditScore,loanDecision
SME_00001,Golden Payments Solutions,FinTech,True,49,0,0,2026-06-10T07:09:23,74.37,A,75.74,A,710,APPROVE
SME_00002,Nova Bakery Foods,Food,True,49,0,0,2026-06-10T07:09:23,84.63,A,93.04,A,804,APPROVE
SME_00003,Ever Dyeing Care,Textile,False,50,0,0,2026-06-10T07:09:23,48.37,C,52.09,B,561,CONDITIONAL REVIEW
SME_00004,Nova Diagnostics Digital,Healthcare,True,51,1,0,2026-06-10T07:09:23,46.03,C,63.99,B,659,APPROVE
SME_00005,Smart Electronics Hub,Retail,True,51,1,0,2026-06-10T07:09:23,67.58,B,75.44,A,739,APPROVE
SME_00006,Future Fabric Enterprises,Textile,True,51,1,0,2026-06-10T07:09:24,73.01,A,79.31,A,733,APPROVE
SME_00007,Urban Clinic Textiles,Healthcare,True,51,1,0,2026-06-10T07:09:24,54.71,B,67.92,B,710,APPROVE
SME_00008,Alpha Payments Enterprises,FinTech,True,50,0,0,2026-06-10T07:09:24,60.85,B,68.2,B,725,APPROVE
SME_00009,Vertex HomeGoods Digital,Retail,False,50,0,0,2026-06-10T07:09:24,49.47,C,56.93,B,565,CONDITIONAL REVIEW
SME_00010,Prime Bakery Textiles,Food,False,50,0,0,2026-06-10T07:09:24,70.13,A,68.55,B,640,CONDITIONAL REVIEW
SME_00011,Green AgroProcessing Digital,AgriTech,True,50,0,0,2026-06-10T07:09:24,58.99,B,73.05,A,668,APPROVE
SME_00012,Prime Garments Traders,Textile,False,50,0,0,2026-06-10T07:09:24,43.04,C,61.72,B,630,CONDITIONAL REVIEW
SME_00013,Fresh Warehousing Traders,Logistics,False,50,0,0,2026-06-10T07:09:24,32.25,C,44.63,C,528,FRAUD REVIEW
SME_00014,Blue AccountingTech Studio,FinTech,True,50,0,0,2026-06-10T07:09:24,79.01,A,87.97,A,814,APPROVE
